a,b,c,d
19.5550536,20.45454,52.978812,20.90453988
20.4691488,20.45454,53.9136336,20.90453988
21.3835488,20.45454,54.8481504,20.90453988
22.2979488,20.45454,55.782972,20.90453988
23.2123488,20.45454,56.7174888,20.90453988
24.1267488,20.45454,57.6523104,20.90453988
25.0411488,20.45454,58.5868272,20.90453988
25.9555488,20.45454,59.522868,20.87726716
26.8699488,20.45454,60.4561656,20.80226718
27.7843488,20.45454,61.3830624,20.75453992
28.6987488,20.45454,62.3075208,20.75453992
29.6131488,20.45454,63.2341128,20.80226718
30.5275488,20.45454,64.1671056,20.87044898
31.4419488,20.45454,65.1025368,20.91817624
32.3563488,20.45454,66.0382728,20.9318126
33.2701392,20.46817636,66.9788856,20.83635808
34.1860632,20.46817636,67.9164504,20.50226726
35.1047304,20.3863582,68.8296312,19.86817652
36.0188256,20.1477219,69.6964824,18.9886313
36.9155472,19.79317654,70.5270624,18.10908608
37.7851416,19.48635844,71.3116176,17.46817716
38.6388864,19.48635844,72.0717888,17.13408634
39.505128,19.79317654,72.8283024,17.04545
40.4009352,20.20908552,73.5903024,17.05908636
41.321736,20.52953998,74.3535216,17.0795409
42.2495472,20.63863086,75.1182648,17.08635908
43.1730912,20.63181268,75.8851416,17.01817728
44.0945016,20.61817632,76.648056,16.82045006
45.0162168,20.61817632,77.3957304,16.54090468
45.937932,20.61817632,78.123288,16.32272292
46.859952,20.6249945,78.841092,16.32272292
47.7816672,20.6249945,79.569564,16.50681378
48.7036872,20.6249945,80.3148,16.72499554
49.6257072,20.61817632,81.0682656,16.9431773
50.5474224,20.61817632,81.8272176,17.20908632
51.4691376,20.61817632,82.599276,17.53635896
52.3911576,20.6249945,83.3908416,17.95226794
53.3128728,20.6249945,84.2022192,18.43635872
54.2355024,20.61817632,85.0337136,18.9886313
55.158132,20.58408542,85.8953832,19.58181296
56.0789328,20.50908544,86.7911904,20.0795401
56.9942472,20.39317638,87.7058952,20.3522673
57.9022464,20.27726732,88.623648,20.43408546
58.8044544,20.19544916,89.5377432,20.41363092
59.7060528,20.13408554,90.4481808,20.40681274
60.6052128,20.07272192,91.3564848,20.49544908
61.4998008,20.03863102,92.2696656,20.7613581
62.3931696,20.03863102,93.1993056,21.21817616
63.2880624,20.0795401,94.1575968,21.83863054
64.1875272,20.1477219,95.1515496,22.45226674
65.0897352,20.22272188,96.1768968,22.86817572
65.9940768,20.31135822,97.2168744,22.96363024
66.905124,20.4204491,98.2486224,22.79999392
67.8219624,20.4886309,99.2578152,22.59544852
68.74002,20.50908544,100.2539016,22.6022667
69.6577728,20.50226726,101.2618752,22.86817572
70.57644,20.41363092,102.295452,23.16135746
71.4914496,20.19544916,103.3467072,23.27044834
72.3936576,19.81363108,104.392476,23.1477211
73.2684336,19.34317666,105.418128,22.98408478
74.1145584,19.02954038,106.433112,23.01817568
74.9494056,19.02954038,107.4605928,23.2840847
75.7952256,19.34317666,108.5115432,23.59772098
76.6700016,19.81363108,109.5789528,23.81590274
77.5722096,20.19544916,110.6503248,23.88408454
78.4878288,20.40681274,111.718344,23.87726636
79.4101536,20.3863582,112.7845344,23.86363
80.3218104,20.19544916,113.8513344,23.86363
81.215484,20.0454492,114.9211824,23.80226638
82.1030616,20.03863102,115.9849344,23.65226642
82.9964304,20.16135826,117.0358848,23.54317554
83.9050392,20.33181276,118.0813488,23.54317554
84.821268,20.41363092,119.1319944,23.64544824
85.7338392,20.41363092,120.1954416,23.7954482
86.6467152,20.39999456,121.2652896,23.85681182
87.5574576,20.39999456,122.3317848,23.85681182
88.4648472,20.50908544,123.39828,23.85681182
89.3777232,20.8295399,124.46508,23.85681182
90.310716,21.4090852,125.5315752,23.85681182
91.2842472,22.17953954,126.5980704,23.85681182
92.2931352,22.95681206,127.6645656,23.86363
93.3440856,23.54317554,128.7316704,23.85681182
94.4182008,23.82272092,129.79908,23.82272092
95.4950592,23.77499366,130.864356,23.75453912
96.5563728,23.53635736,131.9247552,23.66590278
97.5963504,23.34544832,132.9793632,23.57726644
98.6293176,23.3522665,134.0306184,23.52953918
99.6753912,23.47499374,135.0809592,23.51590282
100.7357904,23.49544828,136.1322144,23.522721
101.7913128,23.3181756,137.1840792,23.522721
102.82428,23.08635748,138.2356392,23.522721
103.8410928,23.05226658,139.287504,23.522721
104.8676592,23.2840847,140.339064,23.522721
105.918,23.59772098,141.390624,23.522721
106.9854096,23.80908456,142.442184,23.522721
108.0564768,23.88408454,143.4940488,23.522721
109.1248008,23.87726636,144.5456088,23.522721
110.1909912,23.86363,145.5971688,23.522721
111.2577912,23.86363,146.6487288,23.522721
112.3245912,23.86363,147.7005936,23.522721
113.3913912,23.86363,148.7521536,23.522721
114.4597152,23.84317546,149.8037136,23.522721
115.5277344,23.73408458,150.8549688,23.522721
116.5856952,23.57726644,151.9056144,23.54999372
117.6311592,23.52953918,152.9583936,23.61817552
118.6763184,23.63863006,154.01544,23.70681186
119.7354984,23.87044818,155.0779728,23.7954482
120.8132712,24.1022663,156.144468,23.85681182
121.898664,24.204539,157.212792,23.88408454
122.982228,24.21135718,158.2835544,23.84317546
124.064268,24.21135718,159.3491352,23.73408458
125.146308,24.204539,160.4049624,23.67272096
126.2286528,24.204539,161.4592656,23.67953914
127.3106928,24.204539,162.5196648,23.67953914
128.3930376,24.204539,163.584636,23.5909028
129.4750776,24.204539,164.6395488,23.35908468
130.5571176,24.204539,165.6719064,23.1477211
131.6391576,24.204539,166.6942056,23.1477211
132.7211976,24.204539,167.7271728,23.36590286
133.8035424,24.204539,168.779952,23.63181188
134.8855824,24.204539,169.8473616,23.81590274
135.9676224,24.204539,170.9175144,23.87044818
137.0496624,24.204539,171.9846192,23.85681182
138.1317024,24.204539,173.0502,23.84999364
139.2137424,24.204539,174.1163904,23.84999364
140.2960872,24.204539,175.1825808,23.84999364
141.3781272,24.204539,176.2484664,23.84999364
142.4601672,24.204539,177.3146568,23.84999364
143.542512,24.21135718,178.3808472,23.84999364
144.6248568,24.204539,179.4473424,23.84317546
145.7072016,24.204539,180.5153616,23.78181184
146.7889368,24.19772082,181.580028,23.61817552
147.869148,24.21817536,182.6325024,23.3863574
148.9502736,24.29317534,183.6682128,23.20226654
150.036276,24.44999348,184.6947792,23.20908472
151.1323368,24.66135706,185.7304896,23.39317558
152.241504,24.87953882,186.7832688,23.6249937
153.3607296,25.03635696,187.84824,23.78863002
154.484832,25.11135694,188.916564,23.84999364
155.6098488,25.13181148,189.983364,23.85681182
156.7330368,25.1249933,191.0495544,23.85681182
157.857444,25.09772058,192.1166592,23.86363
158.980632,25.00908424,193.1831544,23.86363
160.1001624,24.8181752,194.2499544,23.86363
161.2114632,24.4090844,195.3167544,23.86363
162.2965512,23.7272664,196.3832496,23.86363
163.3368336,22.88863026,197.4500496,23.85681182
164.3384064,22.1931759,198.5165448,23.85681182
165.30066,21.91363052,199.5833448,23.86363
166.2723624,21.9886305,200.651364,23.8295391
167.2684488,22.0568123,201.71664,23.75453912
168.267888,21.818176,202.7749056,23.71363004
169.2374568,21.29999432,203.8325616,23.72044822
170.1695352,20.795449,204.8963136,23.68635732
171.081192,20.50226726,205.9634184,23.46817556
171.9898008,20.4204491,207.0152832,22.92953934
172.902372,20.42726728,208.0235616,22.159085
173.816772,20.44090364,208.9964832,21.38863066
174.7308672,20.43408546,209.9276472,20.81590354
175.6443528,20.42726728,210.8399136,20.5227218
176.5563144,20.44090364,211.749132,20.43408546
177.4676664,20.52953998,212.6623128,20.44090364
178.3838952,20.73408538,213.5770176,20.45454
179.3150592,21.0340853,214.4920272,20.44090364
180.2669496,21.28635796,215.4049032,20.43408546
181.2307272,21.35453976,216.3144264,20.5227218
182.1893232,21.24544888,217.2266928,20.81590354
183.1323744,21.10908528,218.1578568,21.38863066
184.0675008,21.08863074,219.1304736,22.159085
185.010552,21.15681254,220.138752,22.92953934
185.9639664,21.16363072,221.1890928,23.49544828
186.9143328,21.00681258,222.2577216,23.7954482
187.84824,20.75453992,223.3297032,23.88408454
188.7662976,20.53635816,224.3977224,23.87044818
189.6764304,20.43408546,225.4639128,23.86363
190.5847344,20.4886309,226.5307128,23.86363
191.4979152,20.70681266,227.5975128,23.86363
192.4251168,21.08181256,228.6643128,23.86363
193.3782264,21.51817608,229.7317224,23.84999364
194.3545008,21.8863578,230.7969984,23.84317546
195.3423576,22.159085,231.8586168,23.9318118
196.3387488,22.37044858,232.9232832,24.22499354
197.3436744,22.52726672,234.0068472,24.79090248
198.3559152,22.66363032,235.1321688,25.568175
199.371204,22.78635756,236.2928472,26.33862934
200.3886264,22.97044842,237.4952832,26.90453828
201.41946,23.22953926,238.7166168,27.2045382
202.466448,23.48181192,239.9406936,27.29317454
203.5244088,23.66590278,241.1614176,27.28635636
204.5872464,23.7613573,242.380008,27.27272
205.6509984,23.81590274,243.599208,27.27272
206.7174936,23.84999364,244.8187128,27.26590182
207.7849032,23.86363,246.0373032,27.26590182
208.8517032,23.86363,247.2546744,27.29999272
209.9185032,23.86363,248.47296,27.40226542
210.9853032,23.86363,249.698256,27.613629
212.0521032,23.86363,250.9369632,27.89999256
213.1189032,23.86363,252.193044,28.16590158
214.1857032,23.86363,253.4622312,28.3295379
215.2525032,23.86363,254.7341616,28.38408334
216.3193032,23.86363,256.004568,28.3636288
217.3861032,23.86363,257.2749744,28.21362884
218.4525984,23.86363,258.5414184,27.83862894
219.5193984,23.86363,259.7786016,27.1363564
220.5861984,23.86363,260.9673216,26.1477203
221.6529984,23.86363,262.1179416,25.22044782
222.7197984,23.86363,263.2133928,24.7159025
223.7865984,23.86363,264.2987856,24.66135706
224.8533984,23.86363,265.406124,24.79772066
225.9201984,23.86363,266.5302264,24.77044794
226.9869984,23.86363,267.6396984,24.47044802
228.0537984,23.86363,268.7202144,24.10908448
229.1202936,23.86363,269.7839664,23.89090272
230.1873984,23.86363,270.8461944,23.84317546
231.2541984,23.86363,271.9126896,23.85681182
232.3209984,23.86363,272.9800992,23.86363
233.3877984,23.86363,274.0468992,23.86363
234.4542936,23.86363,275.1136992,23.86363
235.5213984,23.86363,276.1804992,23.86363
236.5878936,23.86363,277.2472992,23.86363
237.6546936,23.86363,278.3140992,23.86363
238.7214936,23.86363,279.3808992,23.86363
239.7882936,23.86363,280.4476992,23.86363
240.8550936,23.86363,281.5144992,23.86363
241.9218936,23.86363,282.5812992,23.86363
242.9886936,23.86363,283.6474896,23.87726636
244.0554936,23.86363,284.7164232,23.87044818
245.1225984,23.84999364,285.7877952,23.74772094
246.1878744,23.84999364,286.8527664,23.4204483
247.2497976,23.94544816,287.8976208,22.85453936
248.3156832,24.24544808,288.9043752,22.10453956
249.4004664,24.79772066,289.873944,21.36817612
250.5239592,25.54090228,290.8057176,20.81590354
251.685552,26.249993,291.717984,20.5227218
252.8825016,26.74772014,292.6272024,20.43408546
254.093472,27.00681098,293.5403832,20.44090364
255.3071856,27.10908368,294.455088,20.45454
256.5230328,27.06135642,295.369488,20.45454
257.73888,26.82272012,296.283888,20.45454
258.9400968,26.29772026,297.198288,20.45454
260.1004704,25.54090228,298.112688,20.45454
261.224268,24.77044794,299.027088,20.45454
262.3066128,24.21135718,299.941488,20.45454
263.3706696,23.91817544,300.855888,20.45454
264.4328976,23.82272092,301.770288,20.44772182
265.4966496,23.8295391,302.6843832,20.44772182
266.5585728,23.92499362,303.5966496,20.47499454
267.6253728,24.18408446,304.5101352,20.57726724
268.7119848,24.545448,305.4303264,20.77499446
269.8254192,24.81135702,306.3633192,21.04772166
270.9507408,24.77726612,307.3124664,21.32044886
272.059908,24.47044802,308.2744152,21.52499426
273.1413384,24.10908448,309.2433744,21.62044878
274.2047856,23.88408454,310.2126384,21.63408514
275.2660992,23.8295391,311.1773304,21.66135786
276.3319848,23.85681182,312.1404984,21.83181236
277.3990896,23.87726636,313.114944,22.22044862
278.4671088,23.88408454,314.1159072,22.76590302
279.538176,23.80908456,315.151008,23.3181756
280.6055856,23.59772098,316.211712,23.6931755
281.6559264,23.27726652,317.2827792,23.85681182
282.6824928,23.0454484,318.3532368,23.88408454
283.6990008,23.05226658,319.4206464,23.87044818
284.731968,23.19544836,320.4874464,23.84999364
285.7838328,23.181812,321.5530272,23.84317546
286.8308208,22.8068121,322.61556,23.91135726
287.8390992,22.10453956,323.6814456,24.12272084
288.808668,21.34772158,324.761352,24.49090256
289.738308,20.80226718,325.8665568,24.92726608
290.6514888,20.5227218,326.995536,25.2954478
291.5607072,20.43408546,328.1351832,25.568175
292.4741928,20.43408546,329.281536,25.84772038
293.3879832,20.43408546,330.4388616,26.20908392
294.2972016,20.5227218,331.619352,26.64544744
295.209468,20.81590354,332.8254456,27.01362916
296.1403272,21.38181248,334.04556,27.22499274
297.1132488,22.159085,335.2687224,27.29317454
298.1215272,22.93635752,336.4894464,27.28635636
299.171868,23.50226646,337.7080368,27.27272
300.2404968,23.7954482,338.926932,27.28635636
301.3121736,23.88408454,340.147656,27.29317454
302.3804976,23.88408454,341.3708184,27.22499274
303.4485168,23.86363,342.5909328,27.01362916
304.5177552,23.78181184,343.7970264,26.64544744
305.581812,23.59772098,344.9775168,26.20908392
306.6330672,23.32499378,346.1348424,25.84772038
307.6675584,23.05908476,347.2811952,25.568175
308.689248,22.86817572,348.4208424,25.28862962
309.705756,22.77953938,349.5495168,24.92726608
310.7210448,22.77953938,350.6547216,24.49090256
311.7375528,22.8749939,351.7340184,24.12953902
312.7595472,23.06590294,352.801428,23.9318118
313.7943432,23.33863014,353.8691424,23.77499366
314.8468176,23.61135734,354.936552,23.4886301
315.911484,23.78863002,355.9875024,22.93635752
316.9807224,23.86363,356.9957808,22.159085
318.0490464,23.87726636,357.9680928,21.39544884
319.1161512,23.86363,358.900476,20.83635808
320.1826464,23.86363,359.817924,20.45454
321.2494464,23.86363,360.729276,20.07272192
322.3162464,23.86363,361.6256928,19.51363116
323.3830464,23.86363,362.4824856,18.75681318
324.4498464,23.86363,363.3030072,17.9999952
325.5166464,23.86363,364.0869528,17.36590446
326.5834464,23.86363,364.8507816,16.78635916
327.6502464,23.86363,365.5935792,16.13863206
328.7170464,23.86363,366.2976672,15.35454136
329.7838464,23.86363,366.9651792,14.49545068
330.8506464,23.86363,367.5945912,13.63636
331.9174464,23.86363,368.1843792,12.77045114
332.9842464,23.86363,368.7327144,11.82272412
334.0510464,23.86363,369.2365488,10.7727244
335.1178464,23.86363,369.6937488,9.67499742
336.1846464,23.86363,370.1046192,8.63863406
337.2514464,23.86363,370.4734272,7.77954338
338.3176368,23.87726636,370.7989536,7.11136174
339.3859608,23.88408454,371.1037536,6.52499826
340.4579424,23.7954482,371.3869128,5.87045298
341.5265712,23.50226646,371.6328864,5.10681682
342.576912,22.92953934,371.8428936,4.34999884
343.5851904,22.159085,372.012972,3.79772626
344.5578072,21.38181248,372.1678104,3.43636272
345.4883616,20.8295399,372.3174672,3.12272644
346.402152,20.54317634,372.4558464,2.71363564
347.316552,20.36590366,372.5670984,2.19545396
348.2315616,20.0795401,372.646956,1.75227226
349.1298072,19.52044934,372.7100496,1.52045414
349.9856856,18.749995,372.7713144,1.47272688
350.8055976,17.98635884,372.8371512,1.50681778
351.5855808,17.42726808,372.9069504,1.5340905
352.3506288,17.04545,372.97614,1.54090868
353.1095808,16.66363192,373.04472,1.5340905
353.8539024,16.10454116,373.1133,1.5340905
354.5579904,15.340905,373.18188,1.5340905
355.226112,14.57045066,373.25046,1.5340905
355.8518664,14.0113599,373.31904,1.5340905
356.460552,13.71817816,373.38762,1.5340905
357.070152,13.54772366,373.4562,1.5340905
357.6803616,13.2613601,373.52478,1.5340905
358.2738072,12.70908752,373.59336,1.5340905
358.8251904,11.931815,373.6625496,1.52045414
359.340912,11.16136066,373.7296056,1.51363596
359.8145712,10.58863354,373.7926992,1.61590866
360.2696376,10.2954518,373.8594504,1.9431813
360.7219608,10.20681546,373.9487568,2.56363568
361.177332,10.22727,374.0837832,3.40909
361.6363608,10.24772454,374.2535568,4.25454432
362.0984376,10.1590882,374.4690504,4.8749987
362.5577712,9.86590646,374.7070992,5.20227134
362.998512,9.29317934,374.9491104,5.30454404
363.3971904,8.522725,375.1868544,5.29772586
363.7602072,7.74545248,375.4224648,5.2840895
